Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Royidris	notorthotenes		(Heterick, 2006)
Myrmicinae	Solenopsis	fugax		(Latreille, 1798)
Myrmicinae	Solenopsis	mameti		Donisthorpe, 1946
Myrmicinae	Solenopsis	molesta		Emery, 1895
Myrmicinae	Solenopsis	papuana		Emery, 1900
Myrmicinae	Solenopsis	succinea		Emery, 1890
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Solenopsis	za02		null
Myrmicinae	Stegomyrmex	manni		Smith, 1946
Myrmicinae	Stenamma	dyscheres		Snelling, 1973
Myrmicinae	Stenamma	expolitum		Smith, 1962
Myrmicinae	Stenamma	striatulum		Emery, 1895
Myrmicinae	Strongylognathus	testaceus		(Schenck, 1852)
Myrmicinae	Strumigenys	ambatrix		(Bolton, 2000)
Myrmicinae	Strumigenys	biolleyi		Forel, 1908
Myrmicinae	Strumigenys	chiricahua		(Ward, 1988)
Myrmicinae	Strumigenys	chyzeri		Emery, 1897
Myrmicinae	Strumigenys	coveri		Fisher, 2000
Myrmicinae	Strumigenys	dicomas		Fisher, 2000
Myrmicinae	Strumigenys	emmae		(Emery, 1890)
Myrmicinae	Strumigenys	erynnes		(Bolton, 2000)
Myrmicinae	Strumigenys	exiguaevitae		Baroni Urbani, 2007
Myrmicinae	Strumigenys	godeffroyi		Mayr, 1866
Myrmicinae	Strumigenys	gundlachi		(Roger, 1862)
Myrmicinae	Strumigenys	ludovici		Forel, 1904
Myrmicinae	Strumigenys	maxillaris		Baroni Urbani, 2007
Myrmicinae	Strumigenys	membranifera		Emery, 1869
Myrmicinae	Strumigenys	nitens		Santschi, 1932
Myrmicinae	Strumigenys	ocypete		(Bolton, 2000)
Myrmicinae	Strumigenys	olsoni		(Bolton, 2000)
Myrmicinae	Strumigenys	rogeri		Emery, 1890
Myrmicinae	Syllophopsis	ferodens		(Heterick, 2006)
Myrmicinae	Syllophopsis	fisheri		(Heterick, 2006)
Myrmicinae	Syllophopsis	sechellensis		(Emery, 1894)
Myrmicinae	Talaridris	mandibularis		Weber, 1941
